channel,channel_id,p_in_ref,p_min,p_max,u_min,u_max,v_min,v_max,valid_cell_centers,n_cells,lower_wall_zone,upper_wall_zone,inlet_zone,outlet_zone
channel_32,32,1631.2761220975601,-28.89659919190165,5011.698881989591,0.008567386434463637,1.5886632247828838,-0.3146583600243682,0.3140767958262958,224890,224890,1,3,4,2
channel_33,33,1613.6926667853834,-30.172051552841133,4470.54105117719,0.009676265058386774,1.5831158926681965,-0.27332143559468414,0.2831820198711326,228508,228508,1,3,4,2
channel_34,34,1431.1272875790771,-31.099533944338898,4673.462097986297,0.004662290128501131,1.501209321553652,-0.3081070588290557,0.3081570837603425,237122,237122,1,3,4,2
channel_35,35,1491.9277288797123,-26.491959950631625,4287.408490648409,0.004749418199315865,1.5856004342301788,-0.2764572288939235,0.27607624602620146,236006,236006,1,3,4,2
channel_36,36,1626.7209938059534,-24.187099080349068,4317.174435763989,0.008701589626186286,1.5920526342548778,-0.25722354008898873,0.2560310153175365,227504,227504,1,3,4,2
channel_37,37,1631.9310475367215,-31.80657396698083,4155.558472749804,0.004433548051753566,1.627042210217608,-0.23742967875472137,0.2369207728717702,225984,225984,1,3,4,2
channel_38,38,1448.132798409097,-32.4427339363694,4644.244036416647,0.0051201217009316366,1.498607645493926,-0.29798045215343877,0.2983919745111463,236520,236520,1,3,4,2
channel_39,39,1435.5047098408784,-29.407230073016287,4370.859822201793,0.00554271194294984,1.5328652309751984,-0.2857607781083324,0.28957887857263687,238094,238094,1,3,4,2
channel_40,40,1490.095540222318,-28.618790534586456,4784.78442890383,0.010132981409684286,1.5448860274014604,-0.30943449352702806,0.3091264562471257,233352,233352,1,3,4,2
channel_41,41,1651.9187999046012,-23.519089530415936,5206.178448046594,0.0067004569740186795,1.5875211388056356,-0.33384931914571037,0.33715467384568387,227032,227032,1,3,4,2
channel_42,42,1447.7119285333179,-38.936223617019536,4670.810789317577,0.005795103513683248,1.5499007519245238,-0.28702801473592926,0.30698546617097744,235102,235102,1,3,4,2
channel_43,43,1641.2336309588075,-29.59352231653218,5019.222216430555,0.0013196844878178942,1.6009777861004864,-0.3178220106978169,0.3162566425571292,227660,227660,1,3,4,2
channel_44,44,1761.8946631328713,-30.91201782095481,6099.467899552859,0.006763924950080322,1.637197754842246,-0.384933850451787,0.4010400501073201,220696,220696,1,3,4,2
channel_45,45,1533.4354356249453,-30.814246775293974,4282.897705563187,0.008484722218987661,1.5483405982576448,-0.25597473243753044,0.25169827683809587,230606,230606,1,3,4,2
channel_46,46,1589.669294944711,-8.158931550917641,4970.20769781405,0.007454333582295489,1.5654740190236314,-0.32257129533970363,0.30528059877769614,230738,230738,1,3,4,2
channel_47,47,1556.8532497160659,-37.4867589900452,4669.1799526009745,0.005202989627188757,1.5487905438391085,-0.28427432701247,0.30705847503895434,229776,229776,1,3,4,2
channel_48,48,1572.2454107667675,-32.9982046345509,4482.680615246549,0.007221267131006554,1.5473853330730167,-0.27898479007731325,0.2738452318442718,230250,230250,1,3,4,2
channel_49,49,1491.6000832000477,-34.02921026703346,4605.678458787974,0.010620177717193615,1.4957686187486658,-0.25138998880257535,0.2626222083686945,233712,233712,1,3,4,2
channel_50,50,1557.7327774977466,-28.54813496866373,5688.2897918469525,0.008543147051133702,1.5263133611817863,-0.3581664881769394,0.37201493433703803,229924,229924,1,3,4,2
channel_51,51,1404.7191078519834,-36.29334399501748,4200.0026561079985,0.004190823624120343,1.491311135616628,-0.27880876510571023,0.27799388134585845,237846,237846,1,3,4,2
channel_52,52,1429.155682808854,-33.609671523812736,4302.611834734349,0.0019648796630105116,1.5166734043496914,-0.282867927468073,0.2806050799794245,237198,237198,1,3,4,2
channel_53,53,1575.8876469935904,-37.53905287772674,4192.045931788042,0.005055205485359259,1.6248475783360146,-0.240415261575933,0.24375945222117015,228196,228196,1,3,4,2
channel_54,54,1542.1656077843102,-24.14174156753407,4610.298454123379,0.005647423862281701,1.5395209107340369,-0.30073997640986533,0.2938076242284631,232234,232234,1,3,4,2
channel_55,55,1598.604832243546,-12.164205621856842,4588.028517411881,0.009289568411319732,1.5716376972022903,-0.28339237949628804,0.2974893607139694,230740,230740,1,3,4,2
channel_56,56,1478.4074185428722,-34.60898763873402,4950.249778187182,0.009516239284318774,1.5273961613647085,-0.3308762676471349,0.32907950815724285,233474,233474,1,3,4,2
channel_57,57,1539.58730081485,-29.9285643796586,4834.905958062985,0.003468376235927294,1.5867312620332008,-0.3124435030731445,0.3142404054053538,233204,233204,1,3,4,2
channel_58,58,1435.4801052680918,-26.309442558628263,4133.79131420864,0.008727266751841465,1.4870472703167728,-0.25360831656237637,0.25374020645065937,237088,237088,1,3,4,2
channel_59,59,1546.5191604790627,-31.51582989492088,5151.92798091873,0.010609499390904494,1.5535020511966349,-0.34123589705267177,0.3414152394172634,233180,233180,1,3,4,2
channel_60,60,1603.348403745112,-26.147506954360015,5029.522900458294,0.008910873732342482,1.572663421526688,-0.3263483418062884,0.32571577647161853,230332,230332,1,3,4,2
channel_61,61,1427.119745935898,-37.75083033569837,4843.57497879996,0.009517725921907588,1.4704117292606012,-0.30936319652099115,0.3241041372262947,236876,236876,1,3,4,2
channel_62,62,1565.9393000119915,-28.385699328012773,4701.941081583975,0.00882809869357065,1.5549809152150793,-0.29143202274186697,0.2992631847553972,228924,228924,1,3,4,2
channel_63,63,1454.5181447650891,-29.979160602995307,4311.404177410479,0.007376999953597614,1.5040177419904146,-0.2830712300914085,0.2815490282588475,236472,236472,1,3,4,2
channel_64,64,1576.719406293909,-31.27619434017915,4693.498186444857,0.013920819035366292,1.553035843020079,-0.2889829497154633,0.2904782613041656,229658,229658,1,3,4,2
channel_65,65,1707.1130616656299,-26.747090963831397,5077.817770848936,0.0050665004332522065,1.602985847504163,-0.29495836980788787,0.3201129827209763,223638,223638,1,3,4,2
