design_id,Wc,Hc,tw,Rf,py,Neff,sx,A,lam,win,wout,lh,N,AR,Rf_max,span
12,0.4931399803608656,0.613365728687495,0.45684711090289054,0.11361495144665242,1.1334802721627057,14.638738498091698,0.7545742108486593,0.04057718524709344,2.872841219417751,1.2180396285839379,0.5282489289529622,14.51718800701201,15.0,1.2437963927375177,0.22842355545144527,35.656432021366854
13,0.2645664344541728,0.6520079468376935,0.311235397355631,0.10136214811354877,1.9583992616273465,7.747521886602044,0.6363589313812553,0.11668415218591689,10.85793515574187,2.4123963862657547,3.4299947232939303,3.819606560282409,8.0,2.4644394069975335,0.1322832172270864,27.463729874490763
14,1.109979191981256,0.7960299880243837,0.6985897177364677,0.14176741410046817,2.171795665845275,7.798597633838654,0.71366104837507,0.1923763521015644,4.465405829716474,2.89745407178998,1.9058591895736754,5.740979166701436,8.0,0.7171575771645872,0.34929485886823386,31.541453792599768
15,0.7956660514231771,0.6797012260183692,1.0879518039990217,0.3062307585030794,2.329724591691047,8.399583594873548,0.8374947313219309,0.102013542316854,4.228449446614832,3.202808836940676,4.156258541159332,6.829291797243059,8.0,0.8542544008288576,0.3978330257115886,34.87406167817276
16,0.32301389761269095,0.8450556508265435,1.1690219106618314,0.13896684516221286,1.8542690412141383,6.8281435668468475,0.913202514545992,0.0942076432518661,3.245400048326701,1.8887867615558207,3.49275728687644,3.002903826534748,7.0,2.6161588002006204,0.16150694880634547,39.83248365558525
17,0.48762296112254266,0.8362137814983726,0.7248389416839928,0.16082378160208463,1.4825563088059428,12.169952904805541,0.7051734307780861,0.2016980077140033,10.688507297541946,4.11735343048349,2.691363826394081,5.020689065568149,12.0,1.7148777809259619,0.24381148056127133,29.752171600895906
18,0.6281576603651047,0.669790954887867,0.3242749085649848,0.15904775578528643,1.3883624487556516,13.164029840379953,0.7736509200651198,0.10059050051495433,8.560480509884655,1.9523695153184235,1.68593085790053,3.4839508086442947,13.0,1.0662784156744403,0.1621374542824924,35.09412065197676
19,0.5583751821890474,0.6608489159494638,0.4908663372974843,0.16564468424767256,1.5754072323441508,10.842148315161467,0.8452425946947186,0.18741033598780632,3.071947571821511,4.683825962245464,2.4734211885370314,2.5620010048151016,11.0,1.1835212900377836,0.24543316864874215,35.36727698744244
20,0.4534302787855268,0.37488622022792695,1.1341893390286715,0.1556684723123908,2.1280411799438297,6.613298624753952,0.6861693819519132,0.029283291567116974,0.8368436750024557,0.5443654512055218,3.759166356176138,14.276796496473253,7.0,0.8267780908501011,0.2267151393927634,30.669347955162277
21,1.0729163847863674,0.9919249901548028,1.0206096187233924,0.446842555142939,2.36683541322127,7.6504008416086435,0.7818823947105557,0.02665370665490627,6.248807000461966,1.10530558321625,3.779775909613818,3.674185316078365,8.0,0.9245128550742646,0.5103048093616962,34.49267812484704
