case,status,spec_json,step_path,mesh_path,case_data_path,pin_txt,pout_txt,uin_mps,pin_pa,pout_pa,dp_pa,tin_txt,tout_txt,tin_k,tout_k,inlet_name,outlet_name,wall_bottom_name,wall_top_name,elapsed_sec
rect_ar21,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar21.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar21.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar21/rect_ar21.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar21/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar21/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar21/pout.txt,0.1,0.0068094815,0.0,0.0068094815,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar21/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar21/tout.txt,272.99999,273.40022,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1344.735233783722
rect_ar22,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar22.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar22.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar22/rect_ar22.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar22/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar22/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar22/pout.txt,0.1,0.006995223,0.0,0.006995223,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar22/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar22/tout.txt,272.99999,273.40765,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1336.5511519908905
rect_ar23,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar23.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar23.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar23/rect_ar23.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar23/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar23/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar23/pout.txt,0.1,0.0071737465,0.0,0.0071737465,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar23/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar23/tout.txt,272.99999,273.41479,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1495.4721629619598
rect_ar24,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar24.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar24.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar24/rect_ar24.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar24/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar24/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar24/pout.txt,0.1,0.0073499835,0.0,0.0073499835,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar24/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar24/tout.txt,272.99999,273.4216,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1493.5230898857117
rect_ar25,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar25.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar25.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar25/rect_ar25.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar25/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar25/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar25/pout.txt,0.1,0.0075265473,0.0,0.0075265473,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar25/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar25/tout.txt,272.99999,273.42841,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1617.3959720134735
rect_ar26,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar26.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar26.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar26/rect_ar26.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar26/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar26/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar26/pout.txt,0.1,0.007698857,0.0,0.007698857,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar26/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar26/tout.txt,272.99999,273.43496,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1721.9465415477753
rect_ar27,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar27.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar27.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar27/rect_ar27.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar27/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar27/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar27/pout.txt,0.1,0.0078682352,0.0,0.0078682352,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar27/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar27/tout.txt,272.99999,273.44157,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1596.669343471527
rect_ar28,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar28.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar28.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar28/rect_ar28.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar28/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar28/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar28/pout.txt,0.1,0.0080375787,0.0,0.0080375787,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar28/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar28/tout.txt,272.99999,273.44784,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1600.8910083770752
rect_ar29,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar29.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar29.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar29/rect_ar29.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar29/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar29/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar29/pout.txt,0.1,0.0082057981,0.0,0.0082057981,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar29/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar29/tout.txt,272.99999,273.45369,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1820.8779842853546
rect_ar30,ok,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar30.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar30.step,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar30/rect_ar30.msh.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar30/case2d.cas.h5,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar30/pin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar30/pout.txt,0.1,0.0083695685,0.0,0.0083695685,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar30/tin.txt,/home/hantianl/Documents/PIDIF/runs_2d/rect_ar30/tout.txt,272.99999,273.45948,open_cascade_step_translator_7.5,open_cascade_step_translator_7.3,open_cascade_step_translator_7.2,open_cascade_step_translator_7.4,1690.823067188263
