2026-07-24 13:31:53 - transient_deeponet - INFO - Training comment
2026-07-24 13:31:53 - transient_deeponet - INFO - Cylinder transient data; complete 100-step trajectory per x-strip sample
2026-07-24 13:31:53 - transient_deeponet - INFO - Output directory: /home/hantianl/Documents/PIDIF/DeepONet/results/transient_072426_1
2026-07-24 14:51:32 - transient_deeponet - INFO - Epoch 0330 | data loss=2.088e-02 | bc loss=0.000e+00 | valid MSE=6.208e+02 | valid rel L2=6.892e-02 | pressure=3.493e-02, u=4.461e-02, v=2.243e-01 | Time: 1:19:31.794650
2026-07-24 14:53:56 - transient_deeponet - INFO - Epoch 0340 | data loss=2.447e-02 | bc loss=0.000e+00 | valid MSE=1.282e+03 | valid rel L2=1.050e-01 | pressure=5.021e-02, u=3.709e-02, v=1.820e-01 | Time: 1:21:55.549039
2026-07-24 14:56:25 - transient_deeponet - INFO - Epoch 0350 | data loss=2.620e-02 | bc loss=0.000e+00 | valid MSE=1.507e+03 | valid rel L2=2.298e-01 | pressure=5.444e-02, u=4.154e-02, v=2.112e-01 | Time: 1:24:24.100223
2026-07-24 14:58:50 - transient_deeponet - INFO - Epoch 0360 | data loss=1.849e-02 | bc loss=0.000e+00 | valid MSE=5.085e+02 | valid rel L2=9.176e-02 | pressure=3.162e-02, u=3.404e-02, v=1.764e-01 | Time: 1:26:49.639827
2026-07-24 15:01:16 - transient_deeponet - INFO - Epoch 0370 | data loss=1.782e-02 | bc loss=0.000e+00 | valid MSE=6.473e+02 | valid rel L2=8.647e-02 | pressure=3.567e-02, u=4.546e-02, v=2.576e-01 | Time: 1:29:15.122859
2026-07-24 15:03:35 - transient_deeponet - INFO - Epoch 0380 | data loss=1.756e-02 | bc loss=0.000e+00 | valid MSE=5.842e+02 | valid rel L2=8.833e-02 | pressure=3.389e-02, u=4.365e-02, v=1.879e-01 | Time: 1:31:34.206231
2026-07-24 15:05:52 - transient_deeponet - INFO - Epoch 0390 | data loss=1.419e-02 | bc loss=0.000e+00 | valid MSE=5.996e+02 | valid rel L2=6.908e-02 | pressure=3.433e-02, u=3.079e-02, v=1.631e-01 | Time: 1:33:51.512720
2026-07-24 15:08:15 - transient_deeponet - INFO - Epoch 0400 | data loss=2.138e-02 | bc loss=0.000e+00 | valid MSE=7.813e+02 | valid rel L2=1.038e-01 | pressure=3.919e-02, u=3.185e-02, v=1.689e-01 | Time: 1:36:14.337131
2026-07-24 15:10:44 - transient_deeponet - INFO - Epoch 0410 | data loss=1.719e-02 | bc loss=0.000e+00 | valid MSE=5.276e+02 | valid rel L2=5.968e-02 | pressure=3.221e-02, u=4.221e-02, v=1.601e-01 | Time: 1:38:42.929280
2026-07-24 15:13:20 - transient_deeponet - INFO - Epoch 0420 | data loss=1.558e-02 | bc loss=0.000e+00 | valid MSE=5.622e+02 | valid rel L2=9.752e-02 | pressure=3.325e-02, u=3.209e-02, v=1.749e-01 | Time: 1:41:19.270404
